Nome da Origem;Host ID;Host Name;Host MAC;Host Desc;Image Name;Image Path;Start Date;Start Time;End Date;End Time;Duration;Deploy/Capture;Tempo
ImagingLog_e03.csv;16;a45d362a9df5;a4:5d:36:2a:9d:f5;Created by FOG Reg on January 11, 2024, 11:23 am;DebRodrigo;Not Valid;15/01/2024;09:25:19;15/01/2024;09:27:46;2 minutes 27 seconds;Deploy;00:02:27
ImagingLog_e03.csv;18;a45d362aadca;a4:5d:36:2a:ad:ca;Created by FOG Reg on January 12, 2024, 11:46 am;DebRodrigo;Not Valid;15/01/2024;09:25:49;15/01/2024;09:27:47;1 minute 58 seconds;Deploy;00:01:58
ImagingLog_e04.csv;2;a45d362abd33;a4:5d:36:2a:bd:33;Created by FOG Reg on January 11, 2024, 11:18 am;DebRodrigo;Not Valid;15/01/2024;10:17:13;15/01/2024;10:20:07;2 minutes 54 seconds;Deploy;00:02:54
ImagingLog_e04.csv;3;a45d362a91f6;a4:5d:36:2a:91:f6;Created by FOG Reg on January 11, 2024, 11:18 am;DebRodrigo;Not Valid;15/01/2024;10:17:12;15/01/2024;10:20:05;2 minutes 53 seconds;Deploy;00:02:53
ImagingLog_e04.csv;4;a45d362aad8f;a4:5d:36:2a:ad:8f;Created by FOG Reg on January 11, 2024, 11:18 am;DebRodrigo;Not Valid;15/01/2024;10:17:08;15/01/2024;10:20:05;2 minutes 57 seconds;Deploy;00:02:57
ImagingLog_e04.csv;5;a45d362a9db8;a4:5d:36:2a:9d:b8;Created by FOG Reg on January 11, 2024, 11:19 am;DebRodrigo;Not Valid;15/01/2024;10:17:11;15/01/2024;10:20:04;2 minutes 53 seconds;Deploy;00:02:53
ImagingLog_e04.csv;7;a45d362abd2b;a4:5d:36:2a:bd:2b;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;10:17:26;15/01/2024;10:20:05;2 minutes 39 seconds;Deploy;00:02:39
ImagingLog_e04.csv;8;a45d362aed83;a4:5d:36:2a:ed:83;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;10:17:27;15/01/2024;10:20:04;2 minutes 37 seconds;Deploy;00:02:37
ImagingLog_e04.csv;9;fc15b4d90f77;fc:15:b4:d9:0f:77;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;10:17:22;15/01/2024;10:20:05;2 minutes 43 seconds;Deploy;00:02:43
ImagingLog_e04.csv;10;a45d362abd9d;a4:5d:36:2a:bd:9d;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;10:17:23;15/01/2024;10:20:05;2 minutes 42 seconds;Deploy;00:02:42
ImagingLog_e04.csv;11;a45d362a9143;a4:5d:36:2a:91:43;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;10:18:29;15/01/2024;10:20:06;1 minute 37 seconds;Deploy;00:01:37
ImagingLog_e04.csv;12;a45d362ada99;a4:5d:36:2a:da:99;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;10:17:33;15/01/2024;10:20:04;2 minutes 31 seconds;Deploy;00:02:31
ImagingLog_e04.csv;13;a45d362aad1b;a4:5d:36:2a:ad:1b;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;10:17:39;15/01/2024;10:20:06;2 minutes 27 seconds;Deploy;00:02:27
ImagingLog_e04.csv;14;a45d362abd32;a4:5d:36:2a:bd:32;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;10:17:30;15/01/2024;10:20:07;2 minutes 37 seconds;Deploy;00:02:37
ImagingLog_e04.csv;16;a45d362a9df5;a4:5d:36:2a:9d:f5;Created by FOG Reg on January 11, 2024, 11:23 am;DebRodrigo;Not Valid;15/01/2024;10:17:02;15/01/2024;10:20:06;3 minutes 4 seconds;Deploy;00:03:04
ImagingLog_e04.csv;18;a45d362aadca;a4:5d:36:2a:ad:ca;Created by FOG Reg on January 12, 2024, 11:46 am;DebRodrigo;Not Valid;15/01/2024;10:17:30;15/01/2024;10:20:06;2 minutes 36 seconds;Deploy;00:02:36
ImagingLog_e05.csv;2;a45d362abd33;a4:5d:36:2a:bd:33;Created by FOG Reg on January 11, 2024, 11:18 am;DebRodrigo;Not Valid;15/01/2024;10:32:31;15/01/2024;10:34:38;2 minutes 7 seconds;Deploy;00:02:07
ImagingLog_e05.csv;3;a45d362a91f6;a4:5d:36:2a:91:f6;Created by FOG Reg on January 11, 2024, 11:18 am;DebRodrigo;Not Valid;15/01/2024;10:32:45;15/01/2024;10:34:38;1 minute 53 seconds;Deploy;00:01:53
ImagingLog_e05.csv;4;a45d362aad8f;a4:5d:36:2a:ad:8f;Created by FOG Reg on January 11, 2024, 11:18 am;DebRodrigo;Not Valid;15/01/2024;10:32:25;15/01/2024;10:34:37;2 minutes 12 seconds;Deploy;00:02:12
ImagingLog_e05.csv;5;a45d362a9db8;a4:5d:36:2a:9d:b8;Created by FOG Reg on January 11, 2024, 11:19 am;DebRodrigo;Not Valid;15/01/2024;10:32:30;15/01/2024;10:34:37;2 minutes 7 seconds;Deploy;00:02:07
ImagingLog_e05.csv;7;a45d362abd2b;a4:5d:36:2a:bd:2b;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;10:32:44;15/01/2024;10:34:37;1 minute 53 seconds;Deploy;00:01:53
ImagingLog_e05.csv;8;a45d362aed83;a4:5d:36:2a:ed:83;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;10:32:45;15/01/2024;10:34:38;1 minute 53 seconds;Deploy;00:01:53
ImagingLog_e05.csv;9;fc15b4d90f77;fc:15:b4:d9:0f:77;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;10:32:40;15/01/2024;10:34:38;1 minute 58 seconds;Deploy;00:01:58
ImagingLog_e05.csv;10;a45d362abd9d;a4:5d:36:2a:bd:9d;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;10:32:41;15/01/2024;10:34:37;1 minute 56 seconds;Deploy;00:01:56
ImagingLog_e05.csv;11;a45d362a9143;a4:5d:36:2a:91:43;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;10:32:54;15/01/2024;10:34:37;1 minute 43 seconds;Deploy;00:01:43
ImagingLog_e05.csv;12;a45d362ada99;a4:5d:36:2a:da:99;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;10:32:54;15/01/2024;10:34:38;1 minute 44 seconds;Deploy;00:01:44
ImagingLog_e05.csv;13;a45d362aad1b;a4:5d:36:2a:ad:1b;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;10:32:58;15/01/2024;10:34:38;1 minute 40 seconds;Deploy;00:01:40
ImagingLog_e05.csv;14;a45d362abd32;a4:5d:36:2a:bd:32;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;10:32:43;15/01/2024;10:34:37;1 minute 54 seconds;Deploy;00:01:54
