Created By;Host ID;Host Name;Host MAC;Host Desc;Image Name;Image Path;Start Date;Start Time;End Date;End Time;Duration;Deploy/Capture;Tempo
fog;20;a45d362aad8f;a4:5d:36:2a:ad:8f;Created by FOG Reg on January 17, 2024, 10:01 am;DebRodrigo;Not Valid;22/01/2024;09:21:53;22/01/2024;09:23:19;1 minute 26 seconds;Deploy;00:01:26
fog;21;a45d362a91f6;a4:5d:36:2a:91:f6;Created by FOG Reg on January 17, 2024, 10:01 am;DebRodrigo;Not Valid;22/01/2024;09:21:52;22/01/2024;09:23:15;1 minute 23 seconds;Deploy;00:01:23
fog;22;a45d362abd33;a4:5d:36:2a:bd:33;Created by FOG Reg on January 17, 2024, 10:02 am;DebRodrigo;Not Valid;22/01/2024;09:21:51;22/01/2024;09:23:19;1 minute 28 seconds;Deploy;00:01:28
fog;23;a45d362abd9d;a4:5d:36:2a:bd:9d;Created by FOG Reg on January 17, 2024, 10:03 am;DebRodrigo;Not Valid;22/01/2024;09:21:50;22/01/2024;09:23:20;1 minute 30 seconds;Deploy;00:01:30
fog;24;fc15b4d90f77;fc:15:b4:d9:0f:77;Created by FOG Reg on January 17, 2024, 10:03 am;DebRodrigo;Not Valid;22/01/2024;09:21:52;22/01/2024;09:23:16;1 minute 24 seconds;Deploy;00:01:24
fog;25;a45d362aed83;a4:5d:36:2a:ed:83;Created by FOG Reg on January 17, 2024, 10:03 am;DebRodrigo;Not Valid;22/01/2024;09:21:50;22/01/2024;09:23:14;1 minute 24 seconds;Deploy;00:01:24
fog;26;a45d362aadca;a4:5d:36:2a:ad:ca;Created by FOG Reg on January 17, 2024, 10:03 am;DebRodrigo;Not Valid;22/01/2024;09:21:51;22/01/2024;09:23:16;1 minute 25 seconds;Deploy;00:01:25
fog;27;a45d362a9143;a4:5d:36:2a:91:43;Created by FOG Reg on January 17, 2024, 10:04 am;DebRodrigo;Not Valid;22/01/2024;09:21:52;22/01/2024;09:23:19;1 minute 27 seconds;Deploy;00:01:27
fog;28;a45d362ada99;a4:5d:36:2a:da:99;Created by FOG Reg on January 17, 2024, 10:04 am;DebRodrigo;Not Valid;22/01/2024;09:21:50;22/01/2024;09:23:16;1 minute 26 seconds;Deploy;00:01:26
fog;29;a45d362aad1b;a4:5d:36:2a:ad:1b;Created by FOG Reg on January 17, 2024, 10:04 am;DebRodrigo;Not Valid;22/01/2024;09:21:53;22/01/2024;09:23:17;1 minute 24 seconds;Deploy;00:01:24
fog;30;a45d362abd32;a4:5d:36:2a:bd:32;Created by FOG Reg on January 17, 2024, 10:05 am;DebRodrigo;Not Valid;22/01/2024;09:21:47;22/01/2024;09:23:07;1 minute 20 seconds;Deploy;00:01:20
fog;31;a45d362abd2b;a4:5d:36:2a:bd:2b;Created by FOG Reg on January 17, 2024, 10:05 am;DebRodrigo;Not Valid;22/01/2024;09:21:56;22/01/2024;09:23:44;1 minute 48 seconds;Deploy;00:01:48
fog;32;a45d362a9db8;a4:5d:36:2a:9d:b8;Created by FOG Reg on January 17, 2024, 10:05 am;DebRodrigo;Not Valid;22/01/2024;09:21:52;22/01/2024;09:23:19;1 minute 27 seconds;Deploy;00:01:27
fog;19;a45d362a9df5;a4:5d:36:2a:9d:f5;Created by FOG Reg on January 17, 2024, 9:57 am;DebRodrigo;Not Valid;22/01/2024;09:25:06;22/01/2024;09:26:29;1 minute 23 seconds;Deploy;00:01:23
fog;20;a45d362aad8f;a4:5d:36:2a:ad:8f;Created by FOG Reg on January 17, 2024, 10:01 am;DebRodrigo;Not Valid;22/01/2024;09:25:11;22/01/2024;09:26:34;1 minute 23 seconds;Deploy;00:01:23
fog;21;a45d362a91f6;a4:5d:36:2a:91:f6;Created by FOG Reg on January 17, 2024, 10:01 am;DebRodrigo;Not Valid;22/01/2024;09:25:12;22/01/2024;09:26:35;1 minute 23 seconds;Deploy;00:01:23
fog;22;a45d362abd33;a4:5d:36:2a:bd:33;Created by FOG Reg on January 17, 2024, 10:02 am;DebRodrigo;Not Valid;22/01/2024;09:25:10;22/01/2024;09:26:36;1 minute 26 seconds;Deploy;00:01:26
fog;23;a45d362abd9d;a4:5d:36:2a:bd:9d;Created by FOG Reg on January 17, 2024, 10:03 am;DebRodrigo;Not Valid;22/01/2024;09:25:10;22/01/2024;09:26:40;1 minute 30 seconds;Deploy;00:01:30
fog;24;fc15b4d90f77;fc:15:b4:d9:0f:77;Created by FOG Reg on January 17, 2024, 10:03 am;DebRodrigo;Not Valid;22/01/2024;09:25:12;22/01/2024;09:26:36;1 minute 24 seconds;Deploy;00:01:24
fog;25;a45d362aed83;a4:5d:36:2a:ed:83;Created by FOG Reg on January 17, 2024, 10:03 am;DebRodrigo;Not Valid;22/01/2024;09:25:07;22/01/2024;09:26:29;1 minute 22 seconds;Deploy;00:01:22
fog;26;a45d362aadca;a4:5d:36:2a:ad:ca;Created by FOG Reg on January 17, 2024, 10:03 am;DebRodrigo;Not Valid;22/01/2024;09:25:09;22/01/2024;09:26:31;1 minute 22 seconds;Deploy;00:01:22
fog;27;a45d362a9143;a4:5d:36:2a:91:43;Created by FOG Reg on January 17, 2024, 10:04 am;DebRodrigo;Not Valid;22/01/2024;09:25:06;22/01/2024;09:26:29;1 minute 23 seconds;Deploy;00:01:23
fog;28;a45d362ada99;a4:5d:36:2a:da:99;Created by FOG Reg on January 17, 2024, 10:04 am;DebRodrigo;Not Valid;22/01/2024;09:25:07;22/01/2024;09:26:33;1 minute 26 seconds;Deploy;00:01:26
fog;29;a45d362aad1b;a4:5d:36:2a:ad:1b;Created by FOG Reg on January 17, 2024, 10:04 am;DebRodrigo;Not Valid;22/01/2024;09:25:09;22/01/2024;09:26:33;1 minute 24 seconds;Deploy;00:01:24
fog;30;a45d362abd32;a4:5d:36:2a:bd:32;Created by FOG Reg on January 17, 2024, 10:05 am;DebRodrigo;Not Valid;22/01/2024;09:25:03;22/01/2024;09:26:26;1 minute 23 seconds;Deploy;00:01:23
fog;31;a45d362abd2b;a4:5d:36:2a:bd:2b;Created by FOG Reg on January 17, 2024, 10:05 am;DebRodrigo;Not Valid;22/01/2024;09:25:23;22/01/2024;09:26:51;1 minute 28 seconds;Deploy;00:01:28
fog;32;a45d362a9db8;a4:5d:36:2a:9d:b8;Created by FOG Reg on January 17, 2024, 10:05 am;DebRodrigo;Not Valid;22/01/2024;09:25:09;22/01/2024;09:26:34;1 minute 25 seconds;Deploy;00:01:25
fog;19;a45d362a9df5;a4:5d:36:2a:9d:f5;Created by FOG Reg on January 17, 2024, 9:57 am;DebRodrigo;Not Valid;22/01/2024;09:28:21;22/01/2024;09:29:41;1 minute 20 seconds;Deploy;00:01:20
fog;20;a45d362aad8f;a4:5d:36:2a:ad:8f;Created by FOG Reg on January 17, 2024, 10:01 am;DebRodrigo;Not Valid;22/01/2024;09:28:23;22/01/2024;09:29:49;1 minute 26 seconds;Deploy;00:01:26
fog;21;a45d362a91f6;a4:5d:36:2a:91:f6;Created by FOG Reg on January 17, 2024, 10:01 am;DebRodrigo;Not Valid;22/01/2024;09:28:22;22/01/2024;09:29:45;1 minute 23 seconds;Deploy;00:01:23
fog;22;a45d362abd33;a4:5d:36:2a:bd:33;Created by FOG Reg on January 17, 2024, 10:02 am;DebRodrigo;Not Valid;22/01/2024;09:28:24;22/01/2024;09:29:49;1 minute 25 seconds;Deploy;00:01:25
fog;23;a45d362abd9d;a4:5d:36:2a:bd:9d;Created by FOG Reg on January 17, 2024, 10:03 am;DebRodrigo;Not Valid;22/01/2024;09:28:24;22/01/2024;09:29:53;1 minute 29 seconds;Deploy;00:01:29
fog;24;fc15b4d90f77;fc:15:b4:d9:0f:77;Created by FOG Reg on January 17, 2024, 10:03 am;DebRodrigo;Not Valid;22/01/2024;09:28:25;22/01/2024;09:29:49;1 minute 24 seconds;Deploy;00:01:24
fog;25;a45d362aed83;a4:5d:36:2a:ed:83;Created by FOG Reg on January 17, 2024, 10:03 am;DebRodrigo;Not Valid;22/01/2024;09:28:23;22/01/2024;09:29:46;1 minute 23 seconds;Deploy;00:01:23
fog;26;a45d362aadca;a4:5d:36:2a:ad:ca;Created by FOG Reg on January 17, 2024, 10:03 am;DebRodrigo;Not Valid;22/01/2024;09:28:22;22/01/2024;09:29:47;1 minute 25 seconds;Deploy;00:01:25
