Created By;Host ID;Host Name;Host MAC;Host Desc;Image Name;Image Path;Start Date;Start Time;End Date;End Time;Duration;Deploy/Capture;Tempo
fog;21;a45d362a91f6;a4:5d:36:2a:91:f6;Created by FOG Reg on January 17, 2024, 10:01 am;DebRodrigo;Not Valid;22/01/2024;07:44:00;22/01/2024;07:46:06;2 minutes 6 seconds;Deploy;00:02:06
fog;22;a45d362abd33;a4:5d:36:2a:bd:33;Created by FOG Reg on January 17, 2024, 10:02 am;DebRodrigo;Not Valid;22/01/2024;07:43:58;22/01/2024;07:46:18;2 minutes 20 seconds;Deploy;00:02:20
fog;23;a45d362abd9d;a4:5d:36:2a:bd:9d;Created by FOG Reg on January 17, 2024, 10:03 am;DebRodrigo;Not Valid;22/01/2024;07:43:59;22/01/2024;07:46:28;2 minutes 29 seconds;Deploy;00:02:29
fog;24;fc15b4d90f77;fc:15:b4:d9:0f:77;Created by FOG Reg on January 17, 2024, 10:03 am;DebRodrigo;Not Valid;22/01/2024;07:44:01;22/01/2024;07:46:08;2 minutes 7 seconds;Deploy;00:02:07
fog;25;a45d362aed83;a4:5d:36:2a:ed:83;Created by FOG Reg on January 17, 2024, 10:03 am;DebRodrigo;Not Valid;22/01/2024;07:43:59;22/01/2024;07:46:13;2 minutes 14 seconds;Deploy;00:02:14
fog;26;a45d362aadca;a4:5d:36:2a:ad:ca;Created by FOG Reg on January 17, 2024, 10:03 am;DebRodrigo;Not Valid;22/01/2024;07:44:01;22/01/2024;07:46:21;2 minutes 20 seconds;Deploy;00:02:20
fog;27;a45d362a9143;a4:5d:36:2a:91:43;Created by FOG Reg on January 17, 2024, 10:04 am;DebRodrigo;Not Valid;22/01/2024;07:43:58;22/01/2024;07:45:35;1 minute 37 seconds;Deploy;00:01:37
fog;28;a45d362ada99;a4:5d:36:2a:da:99;Created by FOG Reg on January 17, 2024, 10:04 am;DebRodrigo;Not Valid;22/01/2024;07:44:02;22/01/2024;07:46:22;2 minutes 20 seconds;Deploy;00:02:20
fog;29;a45d362aad1b;a4:5d:36:2a:ad:1b;Created by FOG Reg on January 17, 2024, 10:04 am;DebRodrigo;Not Valid;22/01/2024;07:44:01;22/01/2024;07:46:13;2 minutes 12 seconds;Deploy;00:02:12
fog;30;a45d362abd32;a4:5d:36:2a:bd:32;Created by FOG Reg on January 17, 2024, 10:05 am;DebRodrigo;Not Valid;22/01/2024;07:43:56;22/01/2024;07:45:30;1 minute 34 seconds;Deploy;00:01:34
fog;31;a45d362abd2b;a4:5d:36:2a:bd:2b;Created by FOG Reg on January 17, 2024, 10:05 am;DebRodrigo;Not Valid;22/01/2024;07:44:04;22/01/2024;07:46:18;2 minutes 14 seconds;Deploy;00:02:14
