Nome da Origem;Created By;Host ID;Host Name;Host MAC;Host Desc;Image Name;Image Path;Start Date;Start Time;End Date;End Time;Duration;Deploy/Capture;Tempo
11.CSV;fog;7;a45d362abd2b;a4:5d:36:2a:bd:2b;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;17/01/2024;07:55:48;17/01/2024;07:57:54;2 minutes 6 seconds;Deploy;00:02:06
11.CSV;fog;8;a45d362aed83;a4:5d:36:2a:ed:83;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;17/01/2024;07:54:59;17/01/2024;07:57:54;2 minutes 55 seconds;Deploy;00:02:06
11.CSV;fog;9;fc15b4d90f77;fc:15:b4:d9:0f:77;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;17/01/2024;07:55:00;17/01/2024;07:57:52;2 minutes 52 seconds;Deploy;00:02:04
11.CSV;fog;10;a45d362abd9d;a4:5d:36:2a:bd:9d;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;17/01/2024;07:55:01;17/01/2024;07:57:52;2 minutes 51 seconds;Deploy;00:02:04
11.CSV;fog;11;a45d362a9143;a4:5d:36:2a:91:43;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;17/01/2024;07:55:00;17/01/2024;07:57:54;2 minutes 54 seconds;Deploy;00:02:06
11.CSV;fog;12;a45d362ada99;a4:5d:36:2a:da:99;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;17/01/2024;07:55:01;17/01/2024;07:57:54;2 minutes 53 seconds;Deploy;00:02:06
11.CSV;fog;13;a45d362aad1b;a4:5d:36:2a:ad:1b;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;17/01/2024;07:55:06;17/01/2024;07:57:53;2 minutes 47 seconds;Deploy;00:02:05
11.CSV;fog;14;a45d362abd32;a4:5d:36:2a:bd:32;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;17/01/2024;07:54:54;17/01/2024;07:57:54;3 minutes ;Deploy;00:02:06
11.CSV;fog;16;a45d362a9df5;a4:5d:36:2a:9d:f5;Created by FOG Reg on January 11, 2024, 11:23 am;DebRodrigo;Not Valid;17/01/2024;07:54:59;17/01/2024;07:57:53;2 minutes 54 seconds;Deploy;00:02:05
11.CSV;fog;18;a45d362aadca;a4:5d:36:2a:ad:ca;Created by FOG Reg on January 12, 2024, 11:46 am;DebRodrigo;Not Valid;17/01/2024;07:55:01;17/01/2024;07:57:54;2 minutes 53 seconds;Deploy;00:02:06
